compound_id,true_target,hard_negative,target_type
COMPOUND_806ebd096539,DISEASE_b2a66b919818,DISEASE_120d64215d86,Disease
COMPOUND_806ebd096539,DISEASE_b2a66b919818,DISEASE_33f32d4c3a5c,Disease
COMPOUND_806ebd096539,DISEASE_b2a66b919818,DISEASE_57750b73b487,Disease
COMPOUND_806ebd096539,DISEASE_b2a66b919818,DISEASE_66ce053b0c0b,Disease
COMPOUND_806ebd096539,DISEASE_b2a66b919818,DISEASE_800f3dcd7399,Disease
COMPOUND_806ebd096539,SYMPTOM_b219d93f90d0,SYMPTOM_01a89e9be65b,Symptom
COMPOUND_806ebd096539,SYMPTOM_b219d93f90d0,SYMPTOM_0ebf3cbae989,Symptom
COMPOUND_806ebd096539,SYMPTOM_b219d93f90d0,SYMPTOM_0f70f3b506e2,Symptom
COMPOUND_806ebd096539,SYMPTOM_b219d93f90d0,SYMPTOM_10d012baa5e9,Symptom
COMPOUND_806ebd096539,SYMPTOM_b219d93f90d0,SYMPTOM_1781e759516c,Symptom
COMPOUND_960b05ddaea9,DISEASE_578708c54b66,DISEASE_071459a0c2fd,Disease
COMPOUND_960b05ddaea9,DISEASE_578708c54b66,DISEASE_093461e46ef0,Disease
COMPOUND_960b05ddaea9,DISEASE_578708c54b66,DISEASE_0ace1f8e701c,Disease
COMPOUND_960b05ddaea9,DISEASE_578708c54b66,DISEASE_120d64215d86,Disease
COMPOUND_960b05ddaea9,DISEASE_578708c54b66,DISEASE_13ef8ee6ec1a,Disease
COMPOUND_960b05ddaea9,SYMPTOM_b219d93f90d0,SYMPTOM_003993957fb9,Symptom
COMPOUND_960b05ddaea9,SYMPTOM_b219d93f90d0,SYMPTOM_005668237e94,Symptom
COMPOUND_960b05ddaea9,SYMPTOM_b219d93f90d0,SYMPTOM_0071d323d363,Symptom
COMPOUND_960b05ddaea9,SYMPTOM_b219d93f90d0,SYMPTOM_0084e48e9830,Symptom
COMPOUND_960b05ddaea9,SYMPTOM_b219d93f90d0,SYMPTOM_009811abd195,Symptom
COMPOUND_ac63052cee8e,SYMPTOM_b45199a35d0a,SYMPTOM_01a89e9be65b,Symptom
COMPOUND_ac63052cee8e,SYMPTOM_b45199a35d0a,SYMPTOM_0ebf3cbae989,Symptom
